text,label,label_name
ALERT: supplier blocked due to compliance issues,4,Supplier Issues
Vendor on credit hold cannot process payment,4,Supplier Issues
Invoice received before goods receipt posting,3,Three-Way Match Failure
Supplier blocked due to compliance issues,4,Supplier Issues
Purchase order reference missing on invoice document,2,Missing PO Reference
URGENT: Vendor on credit hold cannot process payment,4,Supplier Issues
Three-way match failed: PO-GR-Invoice discrepancy,3,Three-Way Match Failure
Quantity on invoice does not match goods receipt,1,Quantity Mismatch
Supplier blocked due to compliance issues,4,Supplier Issues
ALERT: price difference detected: invoiced 100 eur per unit vs po 90 eur,0,Price Variance
Goods receipt not posted for this purchase order,3,Three-Way Match Failure
ALERT: supplier bank details pending verification,4,Supplier Issues
ALERT: quantity on invoice does not match goods receipt,1,Quantity Mismatch
Invoice amount 5000 USD exceeds PO amount 4500 USD by 11%,0,Price Variance
URGENT: Cannot match invoice to any existing PO in system,2,Missing PO Reference
Supplier bank details pending verification,4,Supplier Issues
Invoice amount 5000 EUR exceeds PO amount 4500 EUR by 11%,0,Price Variance
Supplier bank details pending verification,4,Supplier Issues
URGENT: Unit price variance of 15% requires approval,0,Price Variance
Three-way match failed: PO-GR-Invoice discrepancy,3,Three-Way Match Failure
Received quantity 500 units but invoice shows 550 units,1,Quantity Mismatch
ALERT: cannot match invoice to any existing po in system,2,Missing PO Reference
Cannot match invoice to any existing PO in system,2,Missing PO Reference
ALERT: goods receipt not posted for this purchase order,3,Three-Way Match Failure
ALERT: goods receipt not posted for this purchase order,3,Three-Way Match Failure
URGENT: Invoice amount 5000 EUR exceeds PO amount 4500 EUR by 11%,0,Price Variance
ALERT: three-way match failed: po-gr-invoice discrepancy,3,Three-Way Match Failure
Invoice received before goods receipt posting,3,Three-Way Match Failure
ALERT: supplier blocked due to compliance issues,4,Supplier Issues
Purchase order reference missing on invoice document,2,Missing PO Reference
Price difference detected: invoiced 100 EUR per unit vs PO 90 EUR,0,Price Variance
"URGENT: Delivery note shows 100 items, invoice has 120 items",1,Quantity Mismatch
Purchase order reference missing on invoice document,2,Missing PO Reference
ALERT: unit price variance of 15% requires approval,0,Price Variance
URGENT: Invoice received before goods receipt posting,3,Three-Way Match Failure
Cannot match invoice to any existing PO in system,2,Missing PO Reference
URGENT: Purchase order reference missing on invoice document,2,Missing PO Reference
ALERT: received quantity 500 units but invoice shows 550 units,1,Quantity Mismatch
Supplier bank details pending verification,4,Supplier Issues
Invoice received before goods receipt posting,3,Three-Way Match Failure
Supplier blocked due to compliance issues,4,Supplier Issues
ALERT: unit price variance of 15% requires approval,0,Price Variance
Purchase order reference missing on invoice document,2,Missing PO Reference
ALERT: supplier bank details pending verification,4,Supplier Issues
URGENT: PO number not found in SAP system,2,Missing PO Reference
URGENT: Supplier bank details pending verification,4,Supplier Issues
